"","EVTYPE","n"
"328","CSTL FLOODING EROSION",2
"329","DOWNBURST",2
"330","DOWNBURST WINDS",2
"331","DRY MICROBURST 58",2
"332","EARLY FROST",2
"333","EROSION CSTL FLOOD",2
"334","EXCESSIVE COLD",2
"335","FALLING SNOW ICE",2
"336","FLASH FLOOD - HEAVY RAIN",2
"337","FLASH FLOOD  FLOOD",2
"338","FLOOD & HEAVY RAIN",2
"339","FLOOD FLASH FLOODING",2
"340","GLAZE ICE",2
"341","GROUND BLIZZARD",2
"342","HAIL 150",2
"343","HAIL 80",2
"344","HAIL DAMAGE",2
"345","HAIL WINDS",2
"346","HEAT DROUGHT",2
"347","HEAT WAVES",2
"348","HEAVY RAIN FLOODING",2
"349","HEAVY RAIN SEVERE WEATHER",2
"350","HEAVY SEAS",2
"351","HEAVY SHOWER",2
"352","HEAVY SNOW AND HIGH WINDS",2
"353","HEAVY SNOW AND ICE",2
"354","HEAVY SNOW AND ICE STORM",2
"355","HEAVY SNOW FREEZING RAIN",2
"356","HEAVY SNOW ICE STORM",2
"357","HIGH TIDES",2
"358","HIGH WIND (G40)",2
"359","HIGH WIND AND HIGH TIDES",2
"360","HIGH WIND DAMAGE",2
"361","HIGH WINDS 63",2
"362","HIGH WINDS 66",2
"363","HIGH WINDS 80",2
"364","HOT AND DRY",2
"365","HOT SPELL",2
"366","HURRICANE EDOUARD",2
"367","HURRICANE FELIX",2
"368","HVY RAIN",2
"369","ICE FLOES",2
"370","ICE FOG",2
"371","LANDSLUMP",2
"372","LANDSPOUT",2
"373","LATE SEASON SNOWFALL",2
"374","LATE SNOW",2
"375","LIGHT SNOW AND SLEET",2
"376","MARINE MISHAP",2
"377","MONTHLY SNOWFALL",2
"378","NON TSTM WIND",2
"379","NONE",2
"380","RECORD COLD FROST",2
"381","RECORD DRYNESS",2
"382","RECORD LOW RAINFALL",2
"383","RED FLAG CRITERIA",2
"384","RED FLAG FIRE WX",2
"385","REMNANTS OF FLOYD",2
"386","RIVER AND STREAM FLOOD",2
"387","ROCK SLIDE",2
"388","RURAL FLOOD",2
"389","SLEET FREEZING RAIN",2
"390","SLEET SNOW",2
"391","SMALL STREAM AND URBAN FLOOD",2
"392","SML STREAM FLD",2
"393","SNOW ACCUMULATION",2
"394","SNOW AND COLD",2
"395","SNOW AND HEAVY SNOW",2
"396","SNOW COLD",2
"397","SNOW HIGH WINDS",2
"398","STRONG WIND GUST",2
"399","SUMMARY AUGUST 10",2
"400","SUMMARY AUGUST 11",2
"401","SUMMARY OF APRIL 12",2
"402","SUMMARY OF APRIL 21",2
"403","SUMMARY OF JUNE 13",2
"404","SUMMARY OF JUNE 3",2
"405","SUMMARY OF MARCH 23",2
"406","SUMMARY SEPTEMBER 23",2
"407","SUMMARY: NOV. 16",2
"408","THUDERSTORM WINDS",2
"409","THUNDEERSTORM WINDS",2
"410","THUNDERSTORM DAMAGE",2
"411","THUNDERSTORM WIND 50",2
"412","THUNDERSTORM WIND G52",2
"413","THUNDERSTORM WIND G60",2
"414","THUNDERSTORM WINDS  FLOOD",2
"415","THUNDERSTORM WINDS AND",2
"416","THUNDERSTORM WINDS G",2
"417","THUNDERSTORM WINDS HEAVY RAIN",2
"418","THUNDERSTROM WINDS",2
"419","THUNDESTORM WINDS",2
"420","TORNADO F3",2
"421","TORNADOES",2
"422","TROPICAL STORM DEAN",2
"423","TSTM WIND 51",2
"424","UNSEASONABLY COOL & WET",2
"425","UNSEASONABLY WARM WET",2
"426","UNSEASONABLY WARM YEAR",2
"427","UNSEASONAL LOW TEMP",2
"428","UNSEASONAL RAIN",2
"429","UNUSUAL RECORD WARMTH",2
"430","URBAN AND SMALL",2
"431","URBAN SMALL STREAM  FLOOD",2
"432","VERY DRY",2
"433","VOLCANIC ERUPTION",2
"434","WAKE LOW WIND",2
"435","WATERSPOUT-TORNADO",2
"436","WATERSPOUT  TORNADO",2
"437","WINTER STORM HIGH WINDS",2
"438","WINTERY MIX",2
"439","   HIGH SURF ADVISORY",1
"440"," COASTAL FLOOD",1
"441"," FLASH FLOOD",1
"442"," LIGHTNING",1
"443"," TSTM WIND (G45)",1
"444"," WATERSPOUT",1
"445"," WIND",1
"446","?",1
"447","ABNORMALLY WET",1
"448","APACHE COUNTY",1
"449","AVALANCE",1
"450","BEACH EROSIN",1
"451","BEACH EROSION COASTAL FLOOD",1
"452","BITTER WIND CHILL",1
"453","BLIZZARD AND HEAVY SNOW",1
"454","BLIZZARD FREEZING RAIN",1
"455","BLIZZARD HIGH WIND",1
"456","BLIZZARD SUMMARY",1
"457","BLIZZARD WEATHER",1
"458","BLIZZARD WINTER STORM",1
"459","BLOW-OUT TIDE",1
"460","BLOW-OUT TIDES",1
"461","BLOWING SNOW- EXTREME WIND CHI",1
"462","BLOWING SNOW EXTREME WIND CHIL",1
"463","BREAKUP FLOODING",1
"464","BRUSH FIRES",1
"465","COASTAL  FLOODING EROSION",1
"466","COASTAL EROSION",1
"467","COASTALFLOOD",1
"468","COASTALSTORM",1
"469","COLD AIR TORNADO",1
"470","COLD AND SNOW",1
"471","COLD AND WET CONDITIONS",1
"472","COLD WINDS",1
"473","COOL AND WET",1
"474","COOL SPELL",1
"475","DAM FAILURE",1
"476","DEEP HAIL",1
"477","DRIEST MONTH",1
"478","DRIFTING SNOW",1
"479","DROWNING",1
"480","DRY HOT WEATHER",1
"481","DRY MICROBURST 50",1
"482","DRY MICROBURST 53",1
"483","DRY MICROBURST 61",1
"484","DRY MICROBURST 84",1
"485","DRY MIRCOBURST WINDS",1
"486","DRY PATTERN",1
"487","DRYNESS",1
"488","DUST DEVEL",1
"489","DUST DEVIL WATERSPOUT",1
"490","DUST STORM HIGH WINDS",1
"491","DUSTSTORM",1
"492","EARLY FREEZE",1
"493","EARLY RAIN",1
"494","EXCESSIVE",1
"495","EXCESSIVE HEAT DROUGHT",1
"496","EXCESSIVE PRECIPITATION",1
"497","EXCESSIVE WETNESS",1
"498","EXCESSIVELY DRY",1
"499","EXTENDED COLD",1
"500","EXTREME WIND CHILL BLOWING SNO",1
"501","EXTREME WIND CHILLS",1
"502","EXTREMELY WET",1
"503","FIRST FROST",1
"504","FLASH FLOOD ",1
"505","FLASH FLOOD  STREET",1
"506","FLASH FLOOD HEAVY RAIN",1
"507","FLASH FLOOD LANDSLIDE",1
"508","FLASH FLOOD LANDSLIDES",1
"509","FLASH FLOOD WINDS",1
"510","FLASH FLOODING THUNDERSTORM WI",1
"511","FLASH FLOOODING",1
"512","FLOOD FLASHFLOOD",1
"513","FLOOD FLOOD FLASH",1
"514","FLOOD RAIN WIND",1
"515","FLOOD RIVER FLOOD",1
"516","FLOOD STRONG WIND",1
"517","FLOOD WATCH ",1
"518","FLOODING HEAVY RAIN",1
"519","FOG AND COLD TEMPERATURES",1
"520","FOREST FIRES",1
"521","FREEZING DRIZZLE AND FREEZING",1
"522","FREEZING RAIN AND SNOW",1
"523","FREEZING RAIN SLEET AND",1
"524","FREEZING RAIN SLEET AND LIGHT",1
"525","FREEZING SPRAY",1
"526","FROST\FREEZE",1
"527","FUNNEL CLOUD HAIL",1
"528","FUNNEL CLOUD.",1
"529","FUNNELS",1
"530","GLAZE ICE STORM",1
"531","GRASS FIRES",1
"532","GUSTNADO AND",1
"533","GUSTY LAKE WIND",1
"534","GUSTY WIND HAIL",1
"535","GUSTY WIND HVY RAIN",1
"536","GUSTY WIND RAIN",1
"537","HAIL 0.88",1
"538","HAIL 075",1
"539","HAIL 088",1
"540","HAIL 1.75)",1
"541","HAIL 125",1
"542","HAIL 200",1
"543","HAIL 225",1
"544","HAIL 450",1
"545","HAIL 88",1
"546","HAIL ALOFT",1
"547","HAIL FLOODING",1
"548","HAIL ICY ROADS",1
"549","HAIL STORM",1
"550","HAIL(0.75)",1
"551","HAILSTORMS",1
"552","HAZARDOUS SURF",1
"553","HEAT WAVE DROUGHT",1
"554","HEATBURST",1
"555","HEAVY PRECIPATATION",1
"556","HEAVY RAIN AND FLOOD",1
"557","HEAVY RAIN EFFECTS",1
"558","HEAVY RAIN HIGH SURF",1
"559","HEAVY RAIN LIGHTNING",1
"560","HEAVY RAIN MUDSLIDES FLOOD",1
"561","HEAVY RAIN SMALL STREAM URBAN",1
"562","HEAVY RAIN SNOW",1
"563","HEAVY RAIN URBAN FLOOD",1
"564","HEAVY RAIN; URBAN FLOOD WINDS;",1
"565","HEAVY SHOWERS",1
"566","HEAVY SNOW   FREEZING RAIN",1
"567","HEAVY SNOW & ICE",1
"568","HEAVY SNOW AND",1
"569","HEAVY SNOW AND STRONG WINDS",1
"570","HEAVY SNOW ANDBLOWING SNOW",1
"571","HEAVY SNOW BLIZZARD AVALANCHE",1
"572","HEAVY SNOW BLOWING SNOW",1
"573","HEAVY SNOW HIGH",1
"574","HEAVY SNOW HIGH WIND",1
"575","HEAVY SNOW HIGH WINDS",1
"576","HEAVY SNOW HIGH WINDS & FLOOD",1
"577","HEAVY SNOW HIGH WINDS FREEZING",1
"578","HEAVY SNOW SHOWER",1
"579","HEAVY SNOW SLEET",1
"580","HEAVY SNOW WIND",1
"581","HEAVY SNOW WINTER STORM",1
"582","HEAVY SNOWPACK",1
"583","HEAVY SURF AND WIND",1
"584","HEAVY SURF COASTAL FLOODING",1
"585","HEAVY SWELLS",1
"586","HEAVY WET SNOW",1
"587","HIGH",1
"588","HIGH  SWELLS",1
"589","HIGH  WINDS",1
"590","HIGH SURF ADVISORIES",1
"591","HIGH WIND  BLIZZARD",1
"592","HIGH WIND 48",1
"593","HIGH WIND 63",1
"594","HIGH WIND 70",1
"595","HIGH WIND AND HEAVY SNOW",1
"596","HIGH WIND AND SEAS",1
"597","HIGH WIND BLIZZARD FREEZING RA",1
"598","HIGH WIND LOW WIND CHILL",1
"599","HIGH WIND SEAS",1
"600","HIGH WIND WIND CHILL",1
"601","HIGH WIND WIND CHILL BLIZZARD",1
"602","HIGH WINDS ",1
"603","HIGH WINDS 55",1
"604","HIGH WINDS 57",1
"605","HIGH WINDS 58",1
"606","HIGH WINDS 67",1
"607","HIGH WINDS 73",1
"608","HIGH WINDS 76",1
"609","HIGH WINDS 82",1
"610","HIGH WINDS AND WIND CHILL",1
"611","HIGH WINDS COASTAL FLOOD",1
"612","HIGH WINDS DUST STORM",1
"613","HIGH WINDS FLOODING",1
"614","HIGH WINDS HEAVY RAIN",1
"615","HIGH WINDS HEAVY RAINS",1
"616","HIGHWAY FLOODING",1
"617","HOT DRY PATTERN",1
"618","HOT PATTERN",1
"619","HOT WEATHER",1
"620","HURRICANE EMILY",1
"621","HURRICANE GORDON",1
"622","HURRICANE OPAL HIGH WINDS",1
"623","HYPERTHERMIA EXPOSURE",1
"624","HYPOTHERMIA",1
"625","ICE AND SNOW",1
"626","ICE JAM FLOOD (MINOR",1
"627","ICE ON ROAD",1
"628","ICE PELLETS",1
"629","ICE ROADS",1
"630","ICE STORM AND SNOW",1
"631","ICE STORM FLASH FLOOD",1
"632","ICE STRONG WINDS",1
"633","ICESTORM BLIZZARD",1
"634","LACK OF SNOW",1
"635","LAKE FLOOD",1
"636","LANDSLIDE URBAN FLOOD",1
"637","LARGE WALL CLOUD",1
"638","LATE-SEASON SNOWFALL",1
"639","LATE FREEZE",1
"640","LATE SEASON HAIL",1
"641","LATE SEASON SNOW",1
"642","LIGHT SNOW FREEZING PRECIP",1
"643","LIGHT SNOWFALL",1
"644","LIGHTNING  WAUSEON",1
"645","LIGHTNING AND HEAVY RAIN",1
"646","LIGHTNING AND THUNDERSTORM WIN",1
"647","LIGHTNING AND WINDS",1
"648","LIGHTNING DAMAGE",1
"649","LIGHTNING FIRE",1
"650","LIGHTNING HEAVY RAIN",1
"651","LIGHTNING INJURY",1
"652","LIGHTNING THUNDERSTORM WINDS",1
"653","LIGHTNING THUNDERSTORM WINDSS",1
"654","LIGHTNING.",1
"655","LIGNTNING",1
"656","LOCAL FLASH FLOOD",1
"657","LOCAL FLOOD",1
"658","LOCALLY HEAVY RAIN",1
"659","LOW TEMPERATURE RECORD",1
"660","LOW WIND CHILL",1
"661","MARINE ACCIDENT",1
"662","METRO STORM, MAY 26",1
"663","MILD AND DRY PATTERN",1
"664","MILD DRY PATTERN",1
"665","MILD PATTERN",1
"666","MINOR FLOOD",1
"667","MODERATE SNOW",1
"668","MOUNTAIN SNOWS",1
"669","MUD ROCK SLIDE",1
"670","MUD SLIDES",1
"671","MUD SLIDES URBAN FLOODING",1
"672","MUDSLIDE LANDSLIDE",1
"673","NEAR RECORD SNOW",1
"674","NO SEVERE WEATHER",1
"675","NON-SEVERE WIND DAMAGE",1
"676","NON-TSTM WIND",1
"677","NORTHERN LIGHTS",1
"678","PATCHY ICE",1
"679","PROLONG COLD SNOW",1
"680","RAIN (HEAVY)",1
"681","RAIN AND WIND",1
"682","RAIN DAMAGE",1
"683","RAIN WIND",1
"684","RAINSTORM",1
"685","RAPIDLY RISING WATER",1
"686","RECORD  COLD",1
